title,link,summary
Chủ tịch nước dâng hương giỗ Tổ Hùng Vương,https://vnexpress.net/chu-tich-nuoc-dang-huong-gio-to-hung-vuong-4870850.html,"Phú ThọChủ tịch nước Lương Cường cùng đoàn lãnh đạo Đảng, Nhà nước dâng hương giỗ Tổ tại Đền Hùng, sáng 7/4 (10/3 âm lịch)."
Bệnh viện gần dân nhất,https://vnexpress.net/benh-vien-gan-dan-nhat-4870811.html,"Dù sắp tới xóa bỏ cấp huyện, thì mô hình bệnh viện huyện với chức năng là đơn vị y tế đa khoa gần dân nhất, vẫn sẽ tồn tại."
Hai giờ vận chuyển 15 khẩu đại bác về TP HCM,https://video.vnexpress.net/hai-gio-van-chuyen-15-khau-dai-bac-ve-tp-hcm-4870839.html,"Sau hành trình dài 40 km từ Đồng Nai, 15 khẩu đại bác được kéo bằng xe tải thùng về Bến Bạch Đằng, quận 1, chuẩn bị cho lễ kỷ niệm 30/4."
U17 Việt Nam – U17 Nhật Bản: Thử thách cực đại,https://vnexpress.net/u17-viet-nam-u17-nhat-ban-thu-thach-cuc-dai-4870961.html,"Arab SaudiGiành điểm trước Nhật Bản sẽ giúp Việt Nam mở rộng hơn cửa vào tứ kết U17 châu Á 2025 và U17 World Cup, nhưng nhiệm vụ không dễ dàng."
"Chứng khoán châu Á giảm sâu, Đài Loan dừng giao dịch",https://vnexpress.net/gia-vang-chung-khoan-hom-nay-ngay-7-4-4870844.html,"Thị trường Nhật Bản giảm gần 8%, Hong Kong mất hơn 13%, riêng Đài Loan dừng giao dịch sau vài phút khi cổ phiếu TSMC, Foxconn giảm gần 10%."
Iran bác kêu gọi của ông Trump về đối thoại hạt nhân trực tiếp,https://vnexpress.net/iran-bac-keu-goi-cua-ong-trump-ve-doi-thoai-hat-nhan-truc-tiep-4870864.html,"Iran bác bỏ kêu gọi của Tổng thống Mỹ về tiến hành đối thoại trực tiếp trong vấn đề hạt nhân, cho rằng hoạt động này vô nghĩa."
Bị đánh sau khi nhắc tài xế không đỗ xe chắn lối đi,https://vnexpress.net/bi-danh-sau-khi-nhac-tai-xe-khong-do-xe-chan-loi-di-4870960.html,Hà TĩnhCông an Hà Tĩnh đang xác minh việc người đàn ông bị tấn công bằng hung khí sau khi nhắc tài xế xe tải không được đỗ chắn hết đường đi trong ngõ.
Thành phần kẹo rau củ Kera được quảng cáo gian dối như thế nào,https://vnexpress.net/thanh-phan-keo-rau-cu-kera-duoc-quang-cao-gian-doi-nhu-the-nao-4870842.html,"Cơ quan điều tra xác định bột rau dùng trong sản xuất không được thu mua từ các nông trại VietGAP, hàm lượng từ 0,61 đến 0,75% nhưng công bố là 28%."
Kawasaki Corleo concept - robot mãnh thú cho tương lai,https://vnexpress.net/kawasaki-corleo-concept-robot-manh-thu-cho-tuong-lai-4870846.html,"Nhật BảnCorleo là phương tiện di chuyển cá nhân mang hình hài mãnh thú 4 chân, có khả năng di chuyển địa hình khó, sử dụng năng lượng sạch."
"Hơn một thập niên bên nhau của Tuấn Hưng, Hương Baby",https://vnexpress.net/hon-mot-thap-nien-ben-nhau-cua-tuan-hung-huong-baby-4870600.html,"Ca sĩ Tuấn Hưng bớt nóng tính, giảm nhậu nhẹt, dành sự ưu tiên hàng đầu cho gia đình, sau 11 năm kết hôn Hương Baby."
10 điểm nhấn của vòng 31 Ngoại hạng Anh,https://vnexpress.net/10-diem-nhan-cua-vong-31-ngoai-hang-anh-4870828.html,"AnhTrận derby Manchester nhạt nhòa, Arsenal chịu phạt đền tranh cãi hay Southampton xuống hạng sớm nhất lịch sử... thuộc danh sách những điểm nhấn tại Ngoại hạng Anh cuối tuần qua."
Quốc lộ 18 đoạn Nội Bài - Bắc Ninh có thể được nâng cấp thành cao tốc,https://vnexpress.net/quoc-lo-18-doan-noi-bai-bac-ninh-co-the-duoc-nang-cap-thanh-cao-toc-4870875.html,Quốc lộ 18 đoạn Nội Bài - Bắc Ninh dài khoảng 30 km được nhà đầu tư đề xuất mở rộng thành cao tốc với 6 làn xe hoàn chỉnh theo quy hoạch.
"Hiện trạng không hoạt động nhiều năm tại Bệnh viện Bạch Mai 2, Việt Đức 2",https://vnexpress.net/hien-trang-khong-hoat-dong-nhieu-nam-tai-benh-vien-bach-mai-2-viet-duc-2-4870130.html,"Hà NamĐược đầu tư hàng nghìn tỷ đồng, Bệnh viện Bạch Mai 2 và Việt Đức 2 quy mô 1.000 giường bệnh đã bỏ không nhiều năm qua, chưa đưa vào vận hành."
Quân đội Việt Nam trao tặng vật phẩm cứu trợ cho Myanmar,https://vnexpress.net/quan-doi-viet-nam-trao-tang-vat-pham-cuu-tro-cho-myanmar-4870917.html,"MyanmarSáng 7/4, thiếu tướng Phạm Văn Tỵ, Chỉ huy trưởng lực lượng cứu hộ Việt Nam, trao tặng nhu yếu phẩm, thuốc men và các vật dụng thiết yếu cho Myanmar."
Hơn 50 nền kinh tế muốn đàm phán thương mại với Mỹ,https://vnexpress.net/hon-50-nen-kinh-te-muon-dam-phan-thuong-mai-voi-my-4870812.html,Bộ trưởng Tài chính Mỹ cho biết đã có hơn 50 nền kinh tế đề nghị khởi động đàm phán từ khi ông Trump công bố thuế đối ứng.
Cuộc sống ở Myanmar sau 10 ngày thảm họa,https://vnexpress.net/cuoc-song-o-myanmar-sau-10-ngay-tham-hoa-4870803.html,"Myanmar10 ngày sau động đất, anh Trường, một người Việt sống ở tâm chấn Mandalay, cho biết hầu hết mọi người vẫn sống trong lều, dùng chung nước giếng, xếp hàng 2 tiếng rưỡi để được đổ xăng."
"Trực thăng cấp cứu Nhật gặp nạn trên biển, ba người chết",https://vnexpress.net/truc-thang-cap-cuu-nhat-gap-nan-tren-bien-ba-nguoi-chet-4870912.html,"Trực thăng cấp cứu của Nhật Bản dường như phải hạ cánh khẩn xuống biển khi di chuyển bệnh nhân, khiến ba trong 6 người trên phi cơ thiệt mạng."
"Hơn 10% thanh niên không việc làm, không được đào tạo",https://vnexpress.net/hon-10-thanh-nien-khong-viec-lam-khong-duoc-dao-tao-4870777.html,"Cả nước còn 1,35 triệu thanh niên 15-24 tuổi không có việc làm, không tham gia học tập, đào tạo, chiếm 10,4% tổng số thanh niên cả nước, theo Cục Thống kê."
Cầu thủ Thể Công ghi siêu phẩm từ sân nhà ở V-League,https://vnexpress.net/cau-thu-the-cong-ghi-sieu-pham-tu-san-nha-o-v-league-4870810.html,Hà NộiPha làm bàn từ giữa sân của Nguyễn Hữu Thắng giúp Thể Công hòa Quảng Nam 2-2 ở vòng 17 V-League 2024-2025.
Dung mạo mỹ nhân đóng nữ vương 'Tây du ký' gây chú ý,https://vnexpress.net/dung-mao-my-nhan-dong-nu-vuong-tay-du-ky-gay-chu-y-4870734.html,"Nghệ sĩ Chu Lâm, đóng quốc vương Nữ Nhi quốc phim ""Tây du ký"", khiến fan bất ngờ với sắc vóc tuổi 73."
"Man Utd, Man City hòa nhau sau 5 năm",https://vnexpress.net/man-utd-man-city-hoa-nhau-sau-5-nam-4870814.html,"Trận derby Manchester bất phân thắng bại lần đầu sau 5 năm, khi Man Utd hòa đội khách Man City 0-0 ở vòng 31 Ngoại hạng Anh."
Cấp xã sẽ có trung tâm hành chính công,https://vnexpress.net/cap-xa-se-co-trung-tam-hanh-chinh-cong-4870743.html,"Khi giải thể đơn vị hành chính cấp huyện, cấp xã sẽ có trung tâm hành chính công để giải quyết thủ tục hành chính cho người dân, doanh nghiệp thuận tiện, theo Bộ trưởng Trần Văn Sơn."
Hệ thống thực tế ảo giúp lính Ukraine tập chặn UAV Nga,https://vnexpress.net/he-thong-thuc-te-ao-giup-linh-ukraine-tap-chan-uav-nga-4867862.html,"Ukraine đang đào tạo binh sĩ đối phó UAV Nga bằng hệ thống thực tế ảo, được cho là rẻ tiền và an toàn hơn huấn luyện thực địa."
Công an hướng dẫn khai báo với người mua kẹo Kera,https://vnexpress.net/cong-an-huong-dan-khai-bao-voi-nguoi-mua-keo-kera-4870725.html,"Người mua kẹo Kera từ Công ty CER của Hằng Du Mục và Quang Linh Vlogs được đề nghị cung cấp cho cơ quan điều tra lý do mua hàng, thời gian, số lượng, cách thanh toán."
